Reference,Location,R_type,Fit_data,Estimate,UpperCI,LowerCI,Notes
{Coleman:1996uu},"Memphis and Shelby County, Tennessee",R0,,2.33,,,
{Coleman:1996uu},"Hermosillo, Mexico",R0,,1.98,,,
{Coleman:1996uu},"Central Java, Indonesia",R0,,1.79,,,
{Coleman:1996uu},"Kuala Lumpur, Malaysia",R0,,1.63,,,
{Kitala:2002fz},"Machakos District, Kenya",R0,,2.44,,,
{Hampson:2009jqa},"Tokyo, Japan",R0,,1.05,1.04,1.06,
{Hampson:2009jqa},"Kanagawa, Japan",R0,,1.09,1.02,1.17,
{Hampson:2009jqa},"Perak, Malaysia",R0,,1.12,0.99,1.27,
{Hampson:2009jqa},Israel,R0,,1.12,1.07,1.19,
{Hampson:2009jqa},"Ngorongoro District, Tanzania",R0,,1.14,0.94,1.32,
{Hampson:2009jqa},"Serengeti District, Tanzania",R0,,1.19,1.12,1.41,
{Hampson:2009jqa},"Lima-Callau, Peru",R0,,1.19,1.03,1.38,
{Hampson:2009jqa},"Tokyo, Japan",R0,,1.25,1.14,1.37,
{Hampson:2009jqa},Hong Kong,R0,,1.27,1.02,1.6,
{Hampson:2009jqa},"Central New York, USAA",R0,,1.32,1.25,1.4,
{Hampson:2009jqa},"Central Java, Indonesia",R0,,1.49,1.23,1.8,
{Hampson:2009jqa},"Selangor, Malaysia",R0,,1.62,1.48,1.82,
{Hampson:2009jqa},"Hermosillo, Mexico",R0,,1.68,1.52,1.91,
{Hampson:2009jqa},"Memphis, USA",R0,,1.69,1.33,2.17,
{Hampson:2009jqa},"Sultan Hamad, Kenya",R0,,1.72,1.34,2.18,
{Zinsstag:2009ip},"N'Djamena, Chad",Re,,1.01,,,
{Zhang:2011ec},China,R0,,2,,,
{Fitzpatrick:2012kp},"Ngorongoro District, Tanzania",R0,,1.24,,,
{Fitzpatrick:2012kp},"Serengeti District, Tanzania",R0,,1.18,,,
{Hou:2012fv},"Guangdong, China",R0,,1.65,,,
{Zhang:2012fn},China,R0,,1.03,,,
{Townsend:2013hm},"Bali, Indonesia",R0,,1.2,1,1.3,
{Chen:2015fb},"Hebei and Fujian Provinces, China",R0,,1.03,,,
{Chen:2015fb},"Guizhou and Guangxi Provinces, China",R0,,4.92,,,
{Chen:2015fb},"Sichuan and Shaanxi Provinces, China",R0,,1.51,,,
{Bourhy:2016hj},"Bangui, CAR",Rt,,0.84,,,
{Kurosawa:2017cj},"Osaka Prefecture, Japan",R0,,2.42,1.94,2.91,
{Kurosawa:2017cj},"Osaka Prefecture, Japan",R0,,1.5,1.48,1.52,
{Cori:2018fn},"Bangui, CAR",Re,,0.92,0.85,1.01,
