Reference,Year,Country,Scale of analysis,Model type,Aims,Category: explain observed patterns,Category: estimate key parameters,Category: study control measures,Category: identify drivers of dynamics,Category: predict future trends,Reported rabies data,Data description,Fit to rabies data,Observation/Underreporting,Introductions,Heterogeneity in transmission,Density-dependent transmission,Stochastic,Spatial,Reference,Notes
{Cleaveland:1995dn},1995,Tanzania,Sub-national,Deterministic ODE (Ordinary Differential Equations),Modeling to explore how different mechanisms of transmission and immunity would impact control efforts,Y,N,N,N,N,N,,N,N,N,N,Y,N,N,"Cleaveland, S, and C Dye. “Maintenance of a Microparasite Infecting Several Host Species: Rabies in the Serengeti.” Parasitology 111.S1 (1995): S33–S47. Web.",
{Coleman:1996uu},1996,Multiple (global),Sub-national,ML estimation of R0 from epidemic curve,Estimating R0 and Pc using data from different settings,N,Y,N,N,N,Y,11-22 weeks of rabies incidence data from four different studies,Y,N,N,N,NA,N,NA,"Coleman, P G, and C Dye. “Immunization Coverage Required to Prevent Outbreaks of Dog Rabies.” Vaccine (1996): n. pag. Print.",
{Bohrer:2002wl},2002,Israel,Local,Stochastic spatial IBM,Exploring the impact of how distribution of the host population impacts disease spread and control efforts (ORV),N,N,Y,N,N,N,,N,N,N,N,NA,Y,Y,"Bohrer, Gil et al. “The Effectiveness of Various Rabies Spatial Vaccination Patterns in a Simulated Host Population with Clumped Distribution.” Ecological Modelling 152.2-3 (2002): 205–211. Print.",
{Kitala:2002fz},2002,Kenya,Sub-national,Deterministic ODE,Estimating Pc incorporating dog demography and densities,N,Y,N,N,N,Y,"1 year of rabies incidence data from Machakos District, Kenya",Y,N,N,N,Y,N,N,"Kitala, P M et al. “Comparison of Vaccination Strategies for the Control of Dog Rabies in Machakos District, Kenya.” Epidemiology and Infection 129.1 (2002): 215–222. Web.",
{Hampson:2007gu},2007,Multiple (Africa),Regional,Deterministic ODE,Exploring mechanisms which can explain synchrony and cycles of rabies epidemics in sub-Saharan Africa,Y,N,N,N,N,N,,N,N,N,N,Y,N,N,"Hampson, Katie, Jonathan Dushoff, John Bingham, et al. “Synchronous Cycles of Domestic Dog Rabies in Sub-Saharan Africa and the Impact of Control Efforts..” Proceedings of the National Academy of Sciences 104.18 (2007): 7717–7722. Web.",
{WANG:2008fq},2008,China,National,Deterministic ODE,Compared dog culling and vaccination alone or in combination to control  rabies incidence,N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"WANG, XIAOWEI, and JIE LOU. “Two Dynamic Models About Rabies Between Dogs and Human.” Journal of Biological Systems 16.04 (2008): 519–529. Web.",
{Lembo:2008fl},2008,Tanzania,Sub-national,Transmission tree reconstruction,Reconstructing transmission trees from epidemiological data to infer strength of tranmission between host types,N,Y,N,N,N,Y,"4 years of contact tracing data from the Serengeti and Ngorongoro District, TZ",Y,N,N,Y,NA,Y,Y,"Lembo, Tiziana et al. “Exploring Reservoir Dynamics: a Case Study of Rabies in the Serengeti Ecosystem..” The Journal of applied ecology 45.4 (2008): 1246–1257. Web.",
{Hampson:2009jqa},2009,Tanzania,Sub-national,Stochastic nonspatial IBM; Transmission tree reconstruction; ML estimation of R0 from epidemic curve,Estimating R0 and other epidemiological/demographic parameters from data; Examining the impact of dog vaccination on rabies incidence in dogs,N,Y,Y,N,N,Y,"4 years of contact tracing data from Ngorongoro and Serengeti Districts; outbreak data from 14 other settings (monthly or weekly confirmed/suspect cases), ranged from 3-29 months and varied scales",Y,N,Y,Y,N,Y,Y,"Hampson, Katie, Jonathan Dushoff, Sarah Cleaveland, et al. “Transmission Dynamics and Prospects for the Elimination of Canine Rabies..” PLOS Biol 7.3 (2009): e53. Web.",
{Zinsstag:2009ip},2009,Chad,Sub-national,Deterministic ODE,Cost-effectiveness of interventions,N,N,Y,N,N,Y,6 years of weekly passive laboratory confirmed case data in N'Djamena Chad,Y,N,N,N,Y,N,N,"Zinsstag, J, S Durr, et al. “Transmission Dynamics and Economics of Rabies Control in Dogs and Humans in an African City.” Proceedings of the National Academy of Sciences 106.35 (2009): 1–22. Web.",
{Carroll:2010jc},2010,Hypothetical,Hypothetical,Deterministic ODE,"Compared dog culling, vaccination, fertility control alone and in combination on rabies persistence/elimination",N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"Carroll, Matthew J et al. “The Use of Immunocontraception to Improve Rabies Eradication in Urban Dog Populations.” Wildlife Research 37.8 (2010): 676–12. Web.",
{Talbi:2010du},2010,Multiple (Africa),Regional,Phylogeographic,Testing whether natural dispersal of rabies alone could explain observed phylogenies,Y,N,N,N,N,Y,22 years of spatiotemporal and genetic data on laboratory confirmed animal cases in 3 countries,Y,N,Y,N,NA,Y,Y,"Talbi, Chiraz et al. “Phylodynamics and Human-Mediated Dispersal of a Zoonotic Virus.” Ed. Michael Emerman. PLoS Pathogens 6.10 (2010): e1001166–10. Web.",
{Beyer:2011bp},2010,Tanzania,Sub-national,Metapopulation patch occupancy,Comparing different metapopulation models to identify most likely sources from infections and to estimate the local impact of vaccination campaigns at the village level,Y,N,N,N,N,Y,"6 years of monthly bite patient data from the Serengeti District at the village level (used as occupancy, i.e. presence or absence of bite reported in a village each month)",Y,Y,Y,N,Y,Y,Y,"Beyer, H L, K Hampson, T Lembo, S Cleaveland, M Kaare, and D T Haydon. “Metapopulation Dynamics of Rabies and the Efficacy of Vaccination.” Proceedings of the Royal Society B: Biological Sciences 278.1715 (2010): 2182–2190. Web.",
