Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Modelling targeted rabies vaccination strategies for a domestic dog population with heterogeneous roaming patterns.,/pubmed/31283780,"Hudson EG, Brookes VJ, DÃ_rr S, Ward MP.",PLoS Negl Trop Dis. 2019 Jul 8;13(7):e0007582. doi: 10.1371/journal.pntd.0007582. eCollection 2019 Jul.,PLoS Negl Trop Dis.  2019,PubMed,citation,PMID:31283780,pubmed,31283780,create date:2019/07/10 | first author:Hudson EG
A comparison of population estimation techniques for individually unidentifiable free-roaming dogs.,/pubmed/31174545,"Meunier NV, Gibson AD, Corfmat J, Mazeri S, Handel IG, Gamble L, Bronsvoort BMC, Mellanby RJ.",BMC Vet Res. 2019 Jun 7;15(1):190. doi: 10.1186/s12917-019-1938-1.,BMC Vet Res.  2019,PubMed,citation,PMID:31174545 | PMCID:PMC6556045,pubmed,31174545,create date:2019/06/09 | first author:Meunier NV
A bioeconomic model for the optimization of local canine rabies control.,/pubmed/31116732,"Anderson A, KotzÃ© J, Shwiff SA, Hatch B, Slootmaker C, Conan A, Knobel D, Nel LH.",PLoS Negl Trop Dis. 2019 May 22;13(5):e0007377. doi: 10.1371/journal.pntd.0007377. eCollection 2019 May.,PLoS Negl Trop Dis.  2019,PubMed,citation,PMID:31116732 | PMCID:PMC6548399,pubmed,31116732,create date:2019/05/23 | first author:Anderson A
"Environmental distribution of certain modified live-virus vaccines with a high safety profile presents a low-risk, high-reward to control zoonotic diseases.",/pubmed/31043646,"Head JR, Vos A, Blanton J, MÃ_ller T, Chipman R, Pieracci EG, Cleaton J, Wallace R.",Sci Rep. 2019 May 1;9(1):6783. doi: 10.1038/s41598-019-42714-9.,Sci Rep.  2019,PubMed,citation,PMID:31043646 | PMCID:PMC6494895,pubmed,31043646,create date:2019/05/03 | first author:Head JR
"Modeling the Transmission Dynamics of Rabies for Dog, Chinese Ferret Badger and Human Interactions in Zhejiang Province, China.",/pubmed/30536160,"Huang J, Ruan S, Shu Y, Wu X.",Bull Math Biol. 2019 Apr;81(4):939-962. doi: 10.1007/s11538-018-00537-1. Epub 2018 Dec 10.,Bull Math Biol.  2019,PubMed,citation,PMID:30536160,pubmed,30536160,create date:2018/12/12 | first author:Huang J
Genetic and spatial characterization of the red fox (Vulpes vulpes) population in the area stretching between the Eastern and Dinaric Alps and its relationship with rabies and canine distemper dynamics.,/pubmed/30861028,"Zecchin B, De Nardi M, Nouvellet P, Vernesi C, Babbucci M, Crestanello B, BagÃ_ Z, BedekoviÄ‡ T, Hostnik P, Milani A, Donnelly CA, Bargelloni L, Lorenzetto M, Citterio C, Obber F, De Benedictis P, Cattoli G.",PLoS One. 2019 Mar 12;14(3):e0213515. doi: 10.1371/journal.pone.0213515. eCollection 2019.,PLoS One.  2019,PubMed,citation,PMID:30861028 | PMCID:PMC6413928,pubmed,30861028,create date:2019/03/13 | first author:Zecchin B
A Scoping Review of Dingo and Wild-Living Dog Ecology and Biology in Australia to Inform Parameterisation for Disease Spread Modelling.,/pubmed/30891452,"Gabriele-Rivet V, Arsenault J, Wilhelm B, Brookes VJ, Newsome TM, Ward MP.",Front Vet Sci. 2019 Mar 5;6:47. doi: 10.3389/fvets.2019.00047. eCollection 2019.,Front Vet Sci.  2019,PubMed,citation,PMID:30891452 | PMCID:PMC6411765,pubmed,30891452,create date:2019/03/21 | first author:Gabriele-Rivet V
"Sociodemographic factors which predict low private rabies vaccination coverage in dogs in Blantyre, Malawi.",/pubmed/30819860,"Mazeri S, Gibson AD, de Clare Bronsvoort BM, Handel IG, Lohr F, Bailey JB, Mayer D, Gamble L, Mellanby RJ.",Vet Rec. 2019 Mar 2;184(9):281. doi: 10.1136/vr.105000.,Vet Rec.  2019,PubMed,citation,PMID:30819860,pubmed,30819860,create date:2019/03/02 | first author:Mazeri S
"A metapopulation model of dog rabies transmission in N'Djamena, Chad.",/pubmed/30500602,"Laager M, LÃ©chenne M, Naissengar K, Mindekem R, Oussiguere A, Zinsstag J, Chitnis N.",J Theor Biol. 2019 Feb 7;462:408-417. doi: 10.1016/j.jtbi.2018.11.027. Epub 2018 Nov 27.,J Theor Biol.  2019,PubMed,citation,PMID:30500602,pubmed,30500602,create date:2018/12/01 | first author:Laager M
Bats and Viruses: Emergence of Novel Lyssaviruses and Association of Bats with Viral Zoonoses in the EU.,/pubmed/30736432,"Shipley R, Wright E, Selden D, Wu G, Aegerter J, Fooks AR, Banyard AC.",Trop Med Infect Dis. 2019 Feb 7;4(1). pii: E31. doi: 10.3390/tropicalmed4010031. Review.,Trop Med Infect Dis.  2019,PubMed,citation,PMID:30736432 | PMCID:PMC6473451,pubmed,30736432,create date:2019/02/10 | first author:Shipley R
