ï»¿Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Cleaveland, S., Cleaveland, S.",57191181727;6602122886;,Maintenance of a Microparasite Infecting Several Host Species Rabies in the Serengeti,1995,Parasitology,111,S1,,S33,S47,,96,10.1017/S0031182000075806,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029556007&doi=10.1017%2fS0031182000075806&partnerID=40&md5=e7dc4058b0dc9bf7905e06f08f212a52,Article,Final,,Scopus,2-s2.0-0029556007
"Sillero-Zubiri, C., King, A.A., Macdonald, D.W.",6603737682;7403373522;7401463172;,Rabies and mortality in ethiopian wolves (Canis simensis),1996,Journal of Wildlife Diseases,32,1,,80,86,,102,10.7589/0090-3558-32.1.80,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029689233&doi=10.7589%2f0090-3558-32.1.80&partnerID=40&md5=2cd303ad6a3dac58ea3d30a1d568c5b5,Article,Final,,Scopus,2-s2.0-0029689233
"Hamir, A.N., Moser, G., Rupprecht, C.E.",7102440239;7101795799;17435707700;,Clinicopathologic variation in raccoons infected with different street rabies virus isolates,1996,Journal of Veterinary Diagnostic Investigation,8,1,,31,37,,16,10.1177/104063879600800106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029678985&doi=10.1177%2f104063879600800106&partnerID=40&md5=ed23c89f8b8456aab167a1bcf849db36,Article,Final,,Scopus,2-s2.0-0029678985
"Yarosh, O.K., Wandeler, A.I., Graham, F.L., Campbell, J.B., Prevec, L.",7003737168;7006009439;35821642700;7404877562;7003455531;,Human adenovirus type 5 vectors expressing rabies glycoprotein,1996,Vaccine,14,13,,1257,1264,,61,10.1016/S0264-410X(96)00012-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030250559&doi=10.1016%2fS0264-410X%2896%2900012-6&partnerID=40&md5=4d10e6615bb43c48cd185fb5e33471ee,Article,Final,,Scopus,2-s2.0-0030250559
"Danilov, L.L., Maltsev, S.D., Deyeva, A.V., Narovlyansky, A.N., Sanin, A.V., Ozherelkov, S.V., Pronin, A.V.",7006823974;6603683336;6508361479;6602895796;7005800070;6701432463;7101702062;,Phosprenyl: A novel drug with antiviral and immunomodulatory activity,1996,Archivum Immunologiae et Therapiae Experimentalis,44,6-May,,395,400,,25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029801571&partnerID=40&md5=e744db378b213cbccc34cc1951f535df,Short Survey,Final,,Scopus,2-s2.0-0029801571
"Shakin-Eshleman, S.H., Spitalnik, S.L., Kasturi, L.",7004740977;7006331933;6701571800;,The amino acid at the X position of an Asn-X-Ser sequon is an important determinant of N-linked core-glycosylation efficiency,1996,Journal of Biological Chemistry,271,11,,6363,6366,,226,10.1074/jbc.271.11.6363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029916898&doi=10.1074%2fjbc.271.11.6363&partnerID=40&md5=f5737b64020a96fbea0e680addfeb428,Article,Final,Open Access,Scopus,2-s2.0-0029916898
"Williams, E.S., Thorne, E.T.",35553183900;7006857611;,"Infectious and parasitic diseases of captive carnivores, with special emphasis on the black-footed ferret (Mustela nigripes)",1996,OIE Revue Scientifique et Technique,15,1,,91,114,,21,10.20506/rst.15.1.915,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040159511&doi=10.20506%2frst.15.1.915&partnerID=40&md5=4958afc225aa9131cb2903521f04cf81,Article,Final,,Scopus,2-s2.0-0040159511
"Duval, D., Giger, U.",7007029452;7004892238;,Vaccine-associated Immune-Mediated Hemolytic Anemia in the dog,1996,Journal of Veterinary Internal Medicine,10,5,,290,295,,116,10.1111/j.1939-1676.1996.tb02064.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030228347&doi=10.1111%2fj.1939-1676.1996.tb02064.x&partnerID=40&md5=421d5a04558547b9429069d7fae020df,Article,Final,,Scopus,2-s2.0-0030228347
"Scortti, M., Cattan, P., Canals, M.",6602338088;7003673733;7006381073;,"Forecast of canine rabies in Argentina, Bolivia and Paraguay, using time series analysis [Proyecciones de rabia canina en Argentina, Bolivia y Paraguay, usando series de tiempo]",1997,Archivos de Medicina Veterinaria,29,1,,83,89,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2742547536&partnerID=40&md5=983094f884f1c9792609393da3cb12f9,Article,Final,,Scopus,2-s2.0-2742547536
"Sutherland-Smith, M.R., Rideout, B.A., Mikolon, A.B., Appel, M.J.G., Morris, P.J., Shima, A.L., Janssen, D.J.",6603304289;7003349672;6506626849;7101857422;7402150666;21642058200;16552438500;,"Vaccine-induced canine distemper in European mink, Mustela lutreola",1997,Journal of Zoo and Wildlife Medicine,28,3,,312,318,,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031218035&partnerID=40&md5=cee904c690bd6f7db42df7b30d343447,Article,Final,,Scopus,2-s2.0-0031218035
